Ranking,Estreno,Pelicula,Presupuesto,TaquillaInternacional,TaquillaEEUU
1,12/18/2009,Avatar,"$469,625,000","$3,077,483,239","$840,954,122"
2,12/18/2015,Star Wars Ep. VII: The Force Awakens,"$338,130,000","$2,275,748,157","$1,035,742,355"
3,5/24/2007,Pirates of the Caribbean: At Worldâ€™s End,"$331,500,000","$1,065,013,109","$342,150,918"
4,6/11/2015,Spectre,"$331,500,000","$972,376,949","$221,238,021"
5,7/20/2012,The Dark Knight Rises,"$303,875,000","$1,198,793,202","$495,543,253"
6,2/7/2013,The Lone Ranger,"$303,875,000","$287,419,338","$98,748,493"
7,9/3/2012,John Carter,"$303,875,000","$312,597,051","$80,786,826"
8,11/24/2010,Tangled,"$287,300,000","$648,437,001","$222,064,880"
9,4/5/2007,Spider-Man 3,"$285,090,000","$984,818,104","$372,128,478"
10,1/5/2015,Avengers: Age of Ultron,"$276,250,000","$1,552,832,102","$507,559,509"
11,6/5/2016,Captain America: Civil War,"$276,250,000","$1,273,129,464","$451,251,511"
12,3/25/2016,Batman v Superman: Dawn of Justice,"$276,250,000","$959,707,686","$365,305,695"
13,12/14/2012,The Hobbit: An Unexpected Journey,"$276,250,000","$1,124,246,594","$335,055,285"
14,7/15/2009,Harry Potter and the Half-Blood Prince,"$276,250,000","$1,033,688,261","$333,900,441"
15,12/13/2013,The Hobbit: The Desolation of Smaug,"$276,250,000","$1,061,637,540","$285,696,901"
16,12/17/2014,The Hobbit: The Battle of the Five Armies,"$276,250,000","$1,055,837,170","$282,106,359"
17,5/20/2011,Pirates of the Caribbean: On Stranger Tides,"$276,250,000","$1,155,929,131","$266,563,612"
18,4/14/2017,The Fate of the Furious,"$276,250,000","$1,367,932,981","$249,646,162"
19,6/28/2006,Superman Returns,"$256,360,000","$413,532,335","$221,288,694"
20,5/26/2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$254,150,000","$857,870,197","$189,129,389"
21,11/14/2008,Quantum of Solace,"$254,150,000","$654,086,008","$187,284,219"
22,4/5/2012,The Avengers,"$248,625,000","$1,679,708,665","$689,210,057"
23,7/7/2006,Pirates of the Caribbean: Dead Manâ€™s Chest,"$248,625,000","$1,178,648,269","$468,094,159"
24,6/14/2013,Man of Steel,"$248,625,000","$738,440,067","$321,832,313"
25,5/16/2008,The Chronicles of Narnia: Prince Caspian,"$248,625,000","$461,349,927","$156,602,211"
26,3/7/2012,The Amazing Spider-Man,"$243,100,000","$837,809,796","$289,748,267"
27,6/21/2017,Transformers: The Last Knight,"$239,785,000","$628,916,863","$142,498,067"
28,12/6/2015,Jurassic World,"$237,575,000","$1,847,915,094","$721,187,515"
29,5/25/2012,Men in Black 3,"$237,575,000","$723,200,297","$197,957,680"
30,6/24/2009,Transformers: Revenge of the Fallen,"$232,050,000","$924,730,701","$444,647,264"
31,6/27/2014,Transformers: Age of Extinction,"$232,050,000","$1,220,459,997","$271,401,621"
32,5/26/2006,X-Men: The Last Stand,"$232,050,000","$507,799,020","$259,153,323"
33,5/14/2010,Robin Hood,"$232,050,000","$356,221,963","$116,405,162"
34,5/18/2012,Battleship,"$230,945,000","$337,403,490","$72,133,789"
35,12/14/2005,King Kong,"$228,735,000","$608,569,412","$241,148,530"
36,7/12/2007,The Golden Compass,"$226,525,000","$405,990,395","$77,523,723"
37,12/19/1997,Titanic,"$221,000,000","$2,440,408,740","$728,346,658"
38,12/16/2016,Rogue One: A Star Wars Story,"$221,000,000","$1,161,815,224","$588,471,041"
39,6/17/2016,Finding Dory,"$221,000,000","$1,130,452,378","$537,735,905"
40,6/18/2010,Toy Story 3,"$221,000,000","$1,182,630,561","$458,904,096"
41,3/5/2013,Iron Man 3,"$221,000,000","$1,343,555,387","$452,255,475"
42,5/5/2017,Guardians of the Galaxy Vol 2,"$221,000,000","$948,995,668","$428,827,946"
43,6/30/2004,Spider-Man 2,"$221,000,000","$866,346,693","$413,035,905"
44,5/3/2010,Alice in Wonderland,"$221,000,000","$1,133,629,148","$369,541,846"
45,8/11/2012,Skyfall,"$221,000,000","$1,227,632,051","$336,555,507"
46,6/21/2013,Monsters University,"$221,000,000","$821,999,718","$296,889,024"
47,8/3/2013,Oz the Great and Powerful,"$221,000,000","$542,067,413","$259,605,072"
48,5/23/2014,X-Men: Days of Future Past,"$221,000,000","$826,724,905","$258,665,754"
49,2/5/2014,The Amazing Spider-Man 2,"$221,000,000","$783,760,000","$224,311,822"
50,6/24/2011,Cars 2,"$221,000,000","$619,223,768","$211,702,549"
51,12/17/2010,Tron: Legacy,"$221,000,000","$442,249,381","$190,263,562"
52,11/13/2009,2012,"$221,000,000","$871,546,219","$183,683,512"
53,5/21/2009,Terminator Salvation,"$221,000,000","$404,032,901","$138,579,080"
54,6/17/2011,Green Lantern,"$221,000,000","$242,685,510","$128,935,244"
55,5/28/2010,Prince of Persia: Sands of Time,"$221,000,000","$347,768,597","$100,360,235"
56,6/29/2011,Transformers: Dark of the Moon,"$215,475,000","$1,242,294,256","$389,666,415"
57,9/6/2017,The Mummy,"$215,475,000","$439,576,061","$88,176,091"
58,1/3/2013,Jack the Giant Slayer,"$215,475,000","$218,533,761","$72,083,148"
59,3/4/2015,Furious 7,"$209,950,000","$1,676,689,833","$388,165,171"
60,5/16/2013,Star Trek Into Darkness,"$209,950,000","$516,666,972","$252,978,868"
61,6/21/2013,World War Z,"$209,950,000","$587,562,870","$223,765,321"
62,10/5/2013,The Great Gatsby,"$209,950,000","$388,057,631","$160,161,639"
63,6/11/2009,Disney's A Christmas Carol,"$209,950,000","$349,001,285","$152,438,256"
64,12/7/2013,Pacific Rim,"$209,950,000","$454,343,162","$112,571,617"
65,11/25/2015,The Good Dinosaur,"$207,187,500","$369,599,129","$136,107,276"
66,2/5/2008,Iron Man,"$205,530,000","$646,250,631","$352,306,070"
67,7/18/2008,The Dark Knight,"$204,425,000","$1,108,294,167","$589,762,630"
68,5/22/2008,Indiana Jones and the Kingdom of the Crystal Skull,"$204,425,000","$869,500,701","$350,558,634"
69,6/22/2012,Brave,"$204,425,000","$613,089,791","$262,381,891"
70,10/3/2017,Kong: Skull Island,"$204,425,000","$620,309,700","$185,829,438"
71,7/22/2016,Star Trek Beyond,"$204,425,000","$371,871,514","$175,651,317"
72,9/12/2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$198,900,000","$796,520,470","$322,568,142"
73,5/30/2014,Maleficent,"$198,900,000","$838,524,434","$266,943,395"
74,11/18/2016,Fantastic Beasts and Where to Find Them,"$198,900,000","$888,558,877","$258,794,070"
75,6/27/2008,WALL-E,"$198,900,000","$588,752,714","$247,482,592"
76,10/8/2007,Rush Hour 3,"$198,900,000","$283,642,863","$154,948,493"
77,1/7/2016,The Legend of Tarzan,"$198,900,000","$385,960,197","$140,039,364"
78,11/23/2011,Hugo,"$198,900,000","$199,033,823","$81,677,895"
79,7/21/2017,Valerian and the City of a Thousand Planets,"$198,900,000","$58,116,969","$34,304,759"
80,6/2/2015,Jupiter Ascending,"$197,795,000","$201,172,576","$52,505,220"
81,5/27/2016,X-Men: Apocalypse,"$196,690,000","$599,974,684","$171,885,195"
82,6/6/2014,Edge of Tomorrow,"$196,690,000","$409,614,831","$110,806,074"
83,4/15/2016,The Jungle Book,"$193,375,000","$1,065,544,496","$402,505,162"
84,6/19/2015,Inside Out,"$193,375,000","$943,731,045","$394,168,231"
85,5/8/2016,Suicide Squad,"$193,375,000","$824,776,305","$359,489,138"
86,5/29/2009,Up,"$193,375,000","$808,683,790","$323,998,144"
87,7/7/2017,Spider-Man: Homecoming,"$193,375,000","$705,374,361","$309,609,095"
88,3/27/2009,Monsters vs. Aliens,"$193,375,000","$421,936,314","$219,333,150"
89,7/8/2009,G.I. Joe: The Rise of Cobra,"$193,375,000","$334,364,375","$166,089,812"
90,6/30/1999,Wild Wild West,"$193,375,000","$244,557,968","$125,844,046"
91,1/8/2008,The Mummy: Tomb of the Dragon Emperor,"$193,375,000","$448,547,641","$113,333,356"
92,6/22/2007,Evan Almighty,"$193,375,000","$192,493,478","$110,898,333"
93,7/28/1995,Waterworld,"$193,375,000","$292,110,984","$97,580,905"
94,12/5/2017,King Arthur: Legend of the Sword,"$193,375,000","$154,776,938","$43,319,004"
95,12/25/2013,47 Ronin,"$193,375,000","$167,715,353","$42,420,458"
96,12/31/2020,Singularity,"$193,375,000",$0,$0
97,1/8/2014,Guardians of the Galaxy,"$187,850,000","$852,413,347","$368,415,058"
98,7/5/2010,Iron Man 2,"$187,850,000","$689,315,873","$345,482,529"
99,4/4/2014,Captain America: The Winter Soldier,"$187,850,000","$789,735,568","$287,222,991"
100,11/7/2014,Dawn of the Planet of the Apes,"$187,850,000","$785,582,035","$230,605,541"
101,10/11/2004,The Polar Express,"$187,850,000","$352,738,307","$215,571,434"
102,1/6/2012,Snow White and the Huntsman,"$187,850,000","$443,309,489","$171,547,121"
103,1/7/2003,Terminator 3: Rise of the Machines,"$187,850,000","$478,724,293","$166,263,197"
104,7/5/2004,Van Helsing,"$187,850,000","$331,801,421","$132,860,071"
105,5/22/2015,Tomorrowland,"$187,850,000","$229,141,498","$103,320,016"
106,5/27/2016,Alice Through the Looking Glass,"$187,850,000","$306,698,680","$85,191,924"
107,5/21/2010,Shrek Forever After,"$182,325,000","$835,990,674","$263,990,364"
108,4/11/2016,Doctor Strange,"$182,325,000","$748,988,715","$257,250,782"
109,7/11/2014,Big Hero 6,"$182,325,000","$720,894,707","$246,066,822"
110,3/26/2010,How to Train Your Dragon,"$182,325,000","$547,055,137","$240,596,974"
111,2/11/2012,Wreck-It Ralph,"$182,325,000","$548,868,661","$209,448,750"
112,5/11/2014,Interstellar,"$182,325,000","$739,450,215","$207,906,427"
113,6/24/2016,Independence Day: Resurgence,"$182,325,000","$428,521,376","$114,054,889"
114,7/29/2011,Cowboys and Aliens,"$180,115,000","$194,460,058","$110,843,996"
115,3/17/2017,Beauty and the Beast,"$176,800,000","$1,393,002,266","$557,328,783"
116,5/17/2007,Shrek the Third,"$176,800,000","$892,463,983","$356,857,260"
117,7/16/2010,Inception,"$176,800,000","$920,380,443","$323,524,905"
118,11/20/2015,The Hunger Games: Mockingjay - Part 2,"$176,800,000","$719,121,122","$311,524,656"
119,5/24/2013,Fast and Furious 6,"$176,800,000","$872,532,176","$263,927,405"
120,5/16/2014,Godzilla,"$176,800,000","$584,867,140","$221,903,584"
121,3/6/2011,X-Men: First Class,"$176,800,000","$392,886,111","$161,895,376"
122,12/25/2008,The Curious Case of Benjamin Button,"$176,800,000","$364,587,719","$140,997,263"
123,7/14/2010,The Sorcerer's Apprentice,"$176,800,000","$240,972,977","$69,831,103"
124,12/5/2006,Poseidon,"$176,800,000","$200,832,426","$67,092,999"
125,10/6/2016,Warcraft,"$176,800,000","$478,798,755","$52,221,185"
126,12/18/2018,Aquaman,"$176,800,000",$0,$0
127,9/30/2016,Deepwater Horizon,"$172,380,000","$125,592,016","$67,931,965"
128,10/12/2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$171,275,000","$462,284,764","$115,429,002"
129,1/7/2015,Terminator: Genisys,"$171,275,000","$486,575,929","$99,255,870"
130,11/24/2004,Alexander,"$171,275,000","$184,938,680","$37,925,148"
131,7/14/2017,War for the Planet of the Apes,"$167,960,000","$249,816,310","$132,788,784"
132,5/25/2001,Pearl Harbor,"$167,407,500","$496,612,198","$219,541,401"
133,2/7/2007,Transformers,"$166,855,000","$782,959,937","$353,016,055"
134,11/22/2013,Frozen,"$165,750,000","$1,408,603,059","$443,128,076"
135,2/6/2017,Wonder Woman,"$165,750,000","$868,844,668","$437,529,271"
136,4/3/2016,Zootopia,"$165,750,000","$1,127,473,862","$377,367,603"
137,11/7/2007,Harry Potter and the Order of the Phoenix,"$165,750,000","$1,042,377,373","$322,892,999"
138,11/18/2005,Harry Potter and the Goblet of Fire,"$165,750,000","$991,490,351","$320,690,615"
139,5/15/2003,The Matrix Reloaded,"$165,750,000","$816,459,866","$311,336,438"
140,12/14/2007,I am Legend,"$165,750,000","$647,277,106","$283,514,263"
141,11/23/2016,Moana,"$165,750,000","$706,976,407","$275,070,564"
142,1/7/2008,Hancock,"$165,750,000","$690,059,776","$252,058,431"
143,7/15/2005,Charlie and the Chocolate Factory,"$165,750,000","$526,001,281","$228,298,317"
144,6/29/2007,Ratatouille,"$165,750,000","$692,619,360","$228,283,475"
145,8/11/2013,Thor: The Dark World,"$165,750,000","$712,575,851","$228,191,127"
146,6/15/2005,Batman Begins,"$165,750,000","$397,014,322","$227,065,038"
147,7/31/2015,Mission: Impossibleâ€”Rogue Nation,"$165,750,000","$774,774,932","$215,673,960"
148,6/5/2011,Thor,"$165,750,000","$496,708,110","$200,180,043"
149,7/11/2008,Madagascar: Escape 2 Africa,"$165,750,000","$662,735,895","$199,052,508"
150,1/5/2009,X-Men Origins: Wolverine,"$165,750,000","$414,351,136","$198,911,197"
151,5/22/2009,Night at the Museum: Battle of the Smithsonian,"$165,750,000","$444,646,329","$195,992,562"
152,5/26/2011,Kung Fu Panda 2,"$165,750,000","$734,944,666","$182,729,109"
153,5/15/2015,Mad Max: Fury Road,"$165,750,000","$409,836,927","$169,888,008"
154,5/11/2003,The Matrix Revolutions,"$165,750,000","$472,359,072","$154,002,987"
155,5/5/2006,Mission: Impossible III,"$165,750,000","$439,417,865","$147,623,121"
156,5/15/2009,Angels & Demons,"$165,750,000","$542,638,704","$147,484,343"
157,5/14/2004,Troy,"$165,750,000","$535,216,070","$147,398,900"
158,1/7/2010,The Last Airbender,"$165,750,000","$353,427,710","$145,711,049"
159,2/11/2007,Bee Movie,"$165,750,000","$317,921,425","$140,026,333"
160,7/24/2009,G-Force,"$165,750,000","$323,695,482","$132,070,792"
161,11/21/2008,Bolt,"$165,750,000","$362,604,413","$126,118,366"
162,7/21/2017,Dunkirk,"$165,750,000","$260,783,453","$115,710,597"
163,3/30/2012,Wrath of the Titans,"$165,750,000","$337,460,813","$92,520,704"
164,11/16/2007,Beowulf,"$165,750,000","$215,557,460","$90,889,825"
165,11/5/2012,Dark Shadows,"$165,750,000","$263,321,139","$88,160,687"
166,6/28/2013,White House Down,"$165,750,000","$227,104,076","$80,836,702"
167,12/2/2010,The Wolfman,"$165,750,000","$157,675,151","$68,768,330"
168,2/17/2017,The Great Wall,"$165,750,000","$366,761,521","$49,933,824"
169,9/10/2015,Pan,"$165,750,000","$136,952,343","$38,799,962"
170,11/3/2011,Mars Needs Moms,"$165,750,000","$43,720,280","$23,655,684"
171,3/11/2006,Flushed Away,"$164,645,000","$198,270,335","$71,506,007"
172,8/6/2012,Madagascar 3: Europe's Most Wanted,"$160,225,000","$825,684,119","$239,281,373"
173,12/16/2011,Mission: Impossibleâ€”Ghost Protocol,"$160,225,000","$767,970,740","$231,548,013"
174,6/13/2014,How to Train Your Dragon 2,"$160,225,000","$681,070,977","$195,726,293"
175,6/16/1999,Tarzan,"$160,225,000","$495,453,646","$189,189,912"
176,7/3/2014,Mr. Peabody & Sherman,"$160,225,000","$298,257,518","$123,301,580"
177,11/21/2012,Rise of the Guardians,"$160,225,000","$339,263,602","$114,351,760"
178,8/4/2005,Sahara,"$160,225,000","$134,502,229","$75,936,041"
179,7/15/2016,Ghostbusters,"$159,120,000","$253,185,691","$141,927,498"
180,11/22/2002,Die Another Day,"$156,910,000","$477,490,438","$177,966,598"
181,8/5/2009,Star Trek,"$154,700,000","$426,350,449","$284,992,700"
182,1/7/1998,Armageddon,"$154,700,000","$613,082,570","$222,901,122"
183,3/7/2002,Men in Black 2,"$154,700,000","$488,352,218","$210,561,304"
184,7/22/2011,Captain America: The First Avenger,"$154,700,000","$409,646,359","$195,341,019"
185,1/29/2016,Kung Fu Panda 3,"$154,700,000","$573,302,271","$158,711,076"
186,10/7/1998,Lethal Weapon 4,"$154,700,000","$315,495,430","$144,243,033"
187,3/27/2013,G.I. Joe: Retaliation,"$154,700,000","$415,362,562","$135,483,549"
188,5/12/2003,The Last Samurai,"$154,700,000","$504,981,250","$122,863,852"
189,12/21/2005,Fun With Dick And Jane,"$154,700,000","$224,427,264","$122,243,979"
190,12/12/2014,Exodus: Gods and Kings,"$154,700,000","$296,608,278","$71,891,748"
191,1/7/2016,The BFG,"$154,700,000","$170,361,750","$61,352,843"
192,2/26/2016,Gods of Egypt,"$154,700,000","$147,636,677","$34,448,877"
193,3/5/2002,Spider-Man,"$153,595,000","$908,355,312","$446,410,435"
194,6/3/2009,Watchmen,"$152,490,000","$203,478,365","$118,882,186"
195,7/29/2005,Stealth,"$152,490,000","$84,474,892","$35,514,055"
196,6/13/2008,The Incredible Hulk,"$151,937,500","$291,195,332","$149,066,788"
197,6/20/2003,Hulk,"$151,385,000","$271,088,657","$146,158,942"
198,11/7/2001,Final Fantasy: The Spirits Within,"$151,385,000","$94,108,981","$35,530,735"
199,11/16/2012,"The Twilight Saga: Breaking Dawn, Part 2","$150,501,000","$917,219,211","$323,246,848"
200,1/10/2012,The Croods,"$149,175,000","$633,498,490","$206,967,101"
201,8/1/2016,The Revenant,"$149,175,000","$589,150,134","$203,063,110"
202,11/19/1999,The World is Not Enough,"$149,175,000","$399,875,158","$140,357,385"
203,4/3/2011,Rango,"$149,175,000","$271,393,031","$136,295,768"
204,11/14/2003,Master and Commander: The Far Side of the World,"$149,175,000","$235,363,722","$103,861,919"
205,7/17/2013,Turbo,"$149,175,000","$317,149,822","$91,810,846"
206,3/6/2016,Teenage Mutant Ninja Turtles: Out of the Shadows,"$149,175,000","$271,524,883","$90,731,019"
207,11/18/2011,Happy Feet Two,"$149,175,000","$174,612,975","$70,777,070"
208,7/28/2006,Miami Vice,"$149,175,000","$181,093,223","$70,193,629"
209,6/29/2005,War of the Worlds,"$145,860,000","$670,827,448","$259,062,530"
210,11/26/2014,Penguins of Madagascar,"$145,860,000","$406,419,700","$92,167,770"
211,11/22/2013,The Hunger Games: Catching Fire,"$143,650,000","$956,068,383","$469,589,433"
212,4/6/2004,Harry Potter and the Prisoner of Azkaban,"$143,650,000","$880,699,356","$275,935,182"
213,3/8/2007,The Bourne Ultimatum,"$143,650,000","$488,787,499","$251,532,960"
214,6/6/2008,Kung Fu Panda,"$143,650,000","$698,545,496","$238,223,262"
215,7/17/2015,Ant-Man,"$143,650,000","$573,288,761","$199,263,948"
216,3/27/2015,Home,"$143,650,000","$426,780,407","$196,162,619"
217,10/28/2011,Puss in Boots,"$143,650,000","$613,510,906","$165,049,280"
218,5/11/2010,Megamind,"$143,650,000","$355,830,214","$164,115,282"
219,7/18/2003,Bad Boys II,"$143,650,000","$302,088,513","$153,195,723"
220,11/4/2014,Rio 2,"$143,650,000","$545,803,153","$145,452,571"
221,7/23/2010,Salt,"$143,650,000","$321,299,589","$130,826,345"
222,3/28/2014,Noah,"$143,650,000","$390,037,101","$111,904,985"
223,12/21/2011,The Adventures of Tintin,"$143,650,000","$413,431,613","$85,799,495"
224,5/31/2013,After Earth,"$143,650,000","$278,020,305","$66,924,124"
225,11/26/2008,Australia,"$143,650,000","$237,761,081","$54,795,824"
226,7/19/2013,R.I.P.D.,"$143,650,000","$87,415,314","$37,175,057"
227,11/18/2011,"The Twilight Saga: Breaking Dawn, Part 1","$140,887,500","$762,119,395","$311,041,686"
228,5/19/2000,Dinosaur,"$140,887,500","$393,703,876","$152,319,053"
229,3/3/2017,Logan,"$140,335,000","$680,489,670","$250,212,656"
230,12/19/2014,Night at the Museum: Secret of the Tomb,"$140,335,000","$394,144,462","$125,778,739"
231,7/15/2011,Harry Potter and the Deathly Hallows: Part II,"$138,125,000","$1,482,973,577","$421,314,586"
232,11/21/2014,The Hunger Games: Mockingjay - Part 1,"$138,125,000","$847,495,772","$372,798,119"
233,11/16/2001,Harry Potter and the Sorcererâ€™s Stone,"$138,125,000","$1,077,543,325","$351,168,692"
234,9/7/2003,Pirates of the Caribbean: The Curse of the Black Pearl,"$138,125,000","$701,910,013","$337,717,623"
235,11/19/2010,Harry Potter and the Deathly Hallows: Part I,"$138,125,000","$1,061,545,180","$327,292,419"
236,5/19/2006,The Da Vinci Code,"$138,125,000","$848,787,126","$240,547,111"
237,2/5/2003,X2,"$138,125,000","$450,704,732","$237,687,073"
238,4/29/2011,Fast Five,"$138,125,000","$696,400,120","$232,034,304"
239,8/8/2014,Teenage Mutant Ninja Turtles,"$138,125,000","$536,148,505","$211,430,393"
240,12/16/2011,Sherlock Holmes: A Game of Shadows,"$138,125,000","$592,149,153","$206,613,244"
241,5/28/2004,The Day After Tomorrow,"$138,125,000","$614,983,336","$206,494,241"
242,3/31/2017,The Boss Baby,"$138,125,000","$544,497,377","$193,155,831"
243,1/4/2010,Clash of the Titans,"$138,125,000","$545,224,398","$180,479,759"
244,4/11/2016,Trolls,"$138,125,000","$381,137,102","$169,966,197"
245,5/19/1998,Godzilla,"$138,125,000","$415,649,200","$150,733,620"
246,8/6/2012,Prometheus,"$138,125,000","$444,886,435","$139,855,830"
247,10/8/2012,The Bourne Legacy,"$138,125,000","$309,919,452","$125,178,575"
248,6/20/1997,Batman & Robin,"$138,125,000","$263,448,427","$118,678,054"
249,3/8/2012,Total Recall,"$138,125,000","$234,196,312","$65,106,081"
250,12/21/2016,Assassinâ€™s Creed,"$138,125,000","$265,858,457","$60,428,608"
251,1/13/2017,Monster Trucks,"$138,125,000","$68,185,558","$36,900,062"
252,8/27/1999,The 13th Warrior,"$138,125,000","$68,205,048","$36,157,789"
253,11/17/2000,How the Grinch Stole Christmas,"$135,915,000","$381,536,564","$287,552,367"
254,5/24/2000,Mission: Impossible 2,"$132,600,000","$607,542,625","$238,195,947"
255,6/30/2000,The Perfect Storm,"$132,600,000","$363,374,055","$201,935,812"
256,7/29/2016,Jason Bourne,"$132,600,000","$460,085,039","$179,349,687"
257,6/15/2007,Fantastic Four: Rise of the Silver Surfer,"$132,600,000","$318,607,624","$145,876,419"
258,11/21/2012,Life of Pi,"$132,600,000","$672,099,253","$138,208,149"
259,2/16/2007,Ghost Rider,"$132,600,000","$253,751,171","$128,052,195"
260,6/27/2003,Charlie's Angels: Full Throttle,"$132,600,000","$251,158,240","$111,478,468"
261,9/8/2013,Elysium,"$132,600,000","$316,371,047","$102,892,958"
262,4/19/2013,Oblivion,"$132,600,000","$318,277,442","$98,532,998"
263,3/24/2017,Power Rangers,"$132,600,000","$155,697,316","$94,394,302"
264,7/19/2002,Stuart Little 2,"$132,600,000","$183,504,700","$71,827,937"
265,12/2/2014,RoboCop,"$132,600,000","$268,604,230","$64,806,456"
266,11/6/2004,The Chronicles of Riddick,"$132,600,000","$118,518,336","$63,817,606"
267,7/8/2015,Fantastic Four,"$132,600,000","$184,740,093","$62,053,662"
268,9/5/2008,Speed Racer,"$132,600,000","$103,242,908","$48,594,349"
269,7/22/2005,The Island,"$132,600,000","$180,209,257","$39,607,838"
270,12/17/2010,How Do You Know?,"$132,600,000","$54,861,468","$33,408,511"
271,6/23/2010,Knight and Day,"$129,285,000","$286,036,702","$84,507,064"
272,5/19/1999,Star Wars Ep. I: The Phantom Menace,"$127,075,000","$1,135,346,538","$524,742,013"
273,5/19/2005,Star Wars Ep. III: Revenge of the Sith,"$127,075,000","$938,525,809","$420,495,599"
274,5/16/2002,Star Wars Ep. II: Attack of the Clones,"$127,075,000","$725,944,168","$343,540,126"
275,2/11/2001,"Monsters, Inc.","$127,075,000","$618,784,170","$320,038,635"
276,7/26/2013,The Wolverine,"$127,075,000","$460,372,227","$146,578,716"
277,7/2/1997,Dante's Peak,"$127,075,000","$196,991,190","$74,268,450"
278,4/22/2016,The Huntsman: Winterâ€™s War,"$127,075,000","$182,564,296","$53,080,774"
279,6/14/2002,Windtalkers,"$127,075,000","$85,814,166","$45,241,958"
280,4/7/2008,AstÃ©rix aux Jeux Olympiques,"$125,417,500","$147,024,641","$1,105,571"
281,12/25/2010,Gulliver's Travels,"$123,760,000","$256,484,130","$47,304,451"
282,4/10/2013,Gravity,"$121,550,000","$769,328,859","$303,086,231"
283,12/22/2006,Night at the Museum,"$121,550,000","$640,549,031","$277,399,584"
284,10/6/2005,Mr. and Mrs. Smith,"$121,550,000","$537,385,875","$206,046,931"
285,5/29/2015,San Andreas,"$121,550,000","$519,109,185","$171,606,918"
286,7/29/2011,The Smurfs,"$121,550,000","$623,196,689","$157,699,884"
287,6/27/2007,Live Free or Die Hard,"$121,550,000","$422,600,432","$148,759,923"
288,3/20/2015,The Divergent Series: Insurgent,"$121,550,000","$326,416,250","$143,949,414"
289,10/12/2004,Ocean's Twelve,"$121,550,000","$401,266,274","$138,810,370"
290,12/19/1997,Tomorrow Never Dies,"$121,550,000","$375,305,002","$138,558,962"
291,6/28/2000,The Patriot,"$121,550,000","$238,003,385","$125,318,426"
292,7/3/2014,300: Rise of an Empire,"$121,550,000","$365,660,807","$117,854,089"
293,12/17/2004,The Aviator,"$121,550,000","$230,343,603","$113,462,789"
294,12/21/2016,Passengers,"$121,550,000","$334,079,419","$110,593,583"
295,1/14/2011,The Green Hornet,"$121,550,000","$253,319,951","$109,228,995"
296,9/30/2016,Miss Peregrineâ€™s Home for Peculiar Children,"$121,550,000","$327,923,821","$96,471,381"
297,7/10/2011,Real Steel,"$121,550,000","$291,706,523","$94,503,618"
298,11/6/2010,The A-Team,"$121,550,000","$195,931,252","$85,390,653"
299,7/31/2013,The Smurfs 2,"$121,550,000","$385,301,859","$78,530,045"
300,3/18/2016,The Divergent Series: Allegiant,"$121,550,000","$189,567,044","$73,185,000"
301,12/6/2009,The Taking of Pelham 123,"$121,550,000","$168,431,193","$72,375,858"
302,1/11/2013,Ender's Game,"$121,550,000","$141,479,120","$68,267,751"
303,2/4/2004,Home on the Range,"$121,550,000","$84,547,537","$55,318,141"
304,6/13/1997,Speed 2: Cruise Control,"$121,550,000","$166,334,851","$53,184,790"
305,6/5/2005,Kingdom of Heaven,"$121,550,000","$241,931,439","$52,412,217"
306,3/31/2017,Ghost in the Shell,"$121,550,000","$185,625,889","$44,854,370"
307,6/16/2004,Around the World in 80 Days,"$121,550,000","$79,596,998","$26,543,319"
308,12/19/2001,The Lord of the Rings: The Fellowship of the Ring,"$120,445,000","$980,767,383","$348,923,074"
309,11/21/2003,The Cat in the Hat,"$120,445,000","$147,929,421","$111,703,997"
310,12/25/2001,Ali,"$120,445,000","$96,930,240","$64,338,666"
311,2/10/2015,The Martian,"$119,340,000","$733,855,088","$252,597,376"
312,7/16/2004,"I, Robot","$116,025,000","$385,392,575","$160,118,075"
313,12/17/1999,Stuart Little,"$116,025,000","$330,325,289","$154,826,034"
314,11/25/2009,The Princess and the Frog,"$116,025,000","$299,574,052","$115,444,426"
315,7/3/2008,"10,000 B.C.","$116,025,000","$297,438,654","$104,810,474"
316,7/22/2016,Ice Age: Collision Course,"$116,025,000","$446,426,738","$70,839,593"
317,4/27/2001,Town & Country,"$116,025,000","$11,457,734","$7,422,494"
318,9/6/2000,Gone in 60 Seconds,"$114,146,500","$257,175,213","$112,394,805"
319,5/5/2000,Gladiator,"$113,815,000","$505,946,562","$207,536,998"
320,5/23/2013,The Hangover 3,"$113,815,000","$400,172,980","$124,068,596"
321,9/3/2018,A Wrinkle in Time,"$113,815,000",$0,$0
322,1/7/2009,Public Enemies,"$113,262,500","$234,667,921","$107,376,347"
323,11/17/2006,Casino Royale,"$112,710,000","$657,101,902","$185,068,870"
324,6/21/2002,Minority Report,"$112,710,000","$396,662,780","$145,990,288"
325,10/26/2012,Cloud Atlas,"$112,710,000","$144,452,638","$29,975,785"
326,11/15/2002,Harry Potter and the Chamber of Secrets,"$110,500,000","$971,668,036","$289,700,958"
327,2/7/1991,Terminator 2: Judgment Day,"$110,500,000","$567,997,235","$223,211,364"
328,6/16/1995,Batman Forever,"$110,500,000","$372,016,142","$203,497,923"
